kabko,lat,long
KAB. EMPAT LAWANG,-3.7286029,102.8975098
KAB. LAHAT,-3.8008893,103.3587288
KAB. MUARA ENIM,-3.7114163,104.0072348
KAB. MUSI BANYUASIN,-2.5442029,103.7289167
KAB. MUSI RAWAS,-3.0956537,103.0817903
KAB. MUSI RAWAS UTARA,-2.787759,102.7135121
KAB. OGAN ILIR,-3.426544,104.6121475
KAB. OGAN KOMERING ILIR,-3.4559744,105.2194808
KAB. OGAN KOMERING ULU,-4.0283486,104.0072348
KAB. OGAN KOMERING ULU SELATAN,-4.6681951,104.0072348
KAB. OGAN KOMERING ULU TIMUR,-3.8567934,104.7520939
KAB. PENUKAL ABAB LEMATANG ILIR,-3.239825,104.0072348
KOTA LUBUKLINGGAU,-3.2995858,102.857236
KOTA PAGAR ALAM,-4.0419617,103.2278845
KOTA PALEMBANG,-2.9760735,104.7754307
KOTA PRABUMULIH,-3.4213707,104.2436833
KAB. BANGKA,-1.874294,105.92299
KAB. BANGKA BARAT,-1.8405046,105.5005483
KAB. BANGKA SELATAN,-2.7410513,106.4405872
KAB. BANGKA TENGAH,-2.4007823,106.2051484
KAB. BELITUNG,-2.7216743,107.763621
KAB. BELITUNG TIMUR,-2.8678037,108.1428669
KOTA PANGKAL PINANG,-2.1316266,106.1169299
KAB. LAMPUNG TENGAH,-4.8008086,105.3131185
KAB. LAMPUNG UTARA,-4.8133905,104.7520939
KAB. LAMPUNG SELATAN,-5.5622614,105.5474373
KAB. LAMPUNG BARAT,-5.1095293,104.1466046
KAB. LAMPUNG TIMUR,-5.1134995,105.6881788
KAB. MESUJI,-4.0044783,105.3131185
KAB. PESAWARAN,-5.493245,105.0791228
KAB. PESISIR BARAT,-5.292819100000001,104.1233667
KAB. PRINGSEWU,-5.3331186,104.9856176
KAB. TULANG BAWANG,-4.3176576,105.5005483
KAB. TULANG BAWANG BARAT,-4.5256967,105.0791228
KAB. TANGGAMUS,-5.3027489,104.5655273
KAB. WAY KANAN,-4.4963689,104.5655273
KOTA BANDAR LAMPUNG,-5.3971396,105.2667887
KOTA METRO,-5.117839399999999,105.3072646
KAB. LEBAK,-6.564395600000001,106.2522143
KAB. PANDEGLANG,-6.7482706,105.6881788
KAB. SERANG,-6.1397339,106.040506
KAB. TANGERANG,-6.1872101,106.4877072
KOTA CILEGON,-6.0025343,106.0111203
KOTA SERANG,-6.110366099999999,106.1639749
KOTA TANGERANG,-6.2023936,106.6527099
KOTA TANGERANG SELATAN,-6.2835218,106.7112933
KAB. BANDUNG,-7.1340702,107.6215321
KAB. BANDUNG BARAT,-6.865221399999999,107.4919767
KAB. BEKASI,-6.247446600000001,107.1484521
KAB. BOGOR,-6.5517758,106.6291304
KAB. CIAMIS,-7.332077300000001,108.3492543
KAB. CIANJUR,-7.3579773,107.1957203
